Subfamily,Genus,Species,Phylogeny,Morphotype,Habit,Conformation,Biogeography,Organ,References
Papilionoideae,Kunstleria,ridleyi,Yes,Successive cambia,Liana,Discontinuous,Indo-Malesian,Stem,Metcalfe & Chalk 1950
Papilionoideae,Lablab,purpureus,Yes,Neoformations,Liana,Extraxylary and Intraxylary,Afrotropical,Stem,Rajput et al. 2006; Yang et al. 2016
Papilionoideae,Leptoderris,congolensis,No,Neoformations,Liana,Unknown ,Afrotropical,Stem,Gasson et al. 2004; InsideWood 2004-onwards
Papilionoideae,Leptoderris,sp. (1),No,Neoformations,Liana,Unknown ,Afrotropical,Stem,Gasson et al. 2004; InsideWood 2004-onwards
Papilionoideae,Machaerium,kegelii,Yes,Successive cambia,Liana,Continuous,Neotropical,Stem,Acevedo-Rodriguez 2020
Papilionoideae,Machaerium,madeirense,No,Successive cambia,Liana,Discontinuous,Neotropical,Stem,Acevedo-Rodriguez 2020
Papilionoideae,Machaerium,latifolium,Yes,Successive cambia,Liana,Discontinuous,Neotropical,Stem,Acevedo-Rodríguez 2020
Papilionoideae,Machaerium,sp. (1),No,Successive cambia,Liana,Discontinuous,Neotropical,Stem,Acevedo-Rodríguez 2020
Papilionoideae,Machaerium,sp. (2),No,Successive cambia,Liana,Discontinuous,Neotropical,Stem,Acevedo-Rodríguez 2020
Papilionoideae,Machaerium,sp. (3),No,Successive cambia,Liana,Discontinuous,Neotropical,Stem,Acevedo-Rodríguez 2020
Papilionoideae,Machaerium,sp. (4),No,Successive cambia,Liana,Discontinuous,Neotropical,Stem,Acevedo-Rodríguez 2020
